1.0,4.0 ||  -53, -58, -59, -57, -59 ||  -57, -61, -62, -61, -63 ||  -56, -60, -61, -60, -62 ||  -61, -65, -66, -65, -67 ||  -58, -62, -63, -62, -64 ||  -61, -66, -67, -65, -68
1.0,5.0 ||  -58, -59, -58, -61, -59 ||  -58, -59, -59, -62, -60 ||  -59, -61, -62, -62, -61 ||  -63, -65, -64, -68, -66 ||  -59, -61, -60, -64, -62 ||  -63, -65, -65, -67, -66
1.0,6.0 ||  -62, -61, -58, -66, -60 ||  -59, -58, -56, -63, -57 ||  -63, -62, -62, -65, -61 ||  -66, -66, -63, -71, -65 ||  -61, -60, -58, -65, -59 ||  -66, -65, -63, -70, -64
1.0,7.0 ||  -62, -60, -60, -64, -62 ||  -55, -54, -53, -58, -55 ||  -63, -61, -64, -64, -63 ||  -65, -65, -64, -68, -66 ||  -59, -58, -57, -61, -59 ||  -64, -63, -63, -67, -64
1.0,8.0 ||  -62, -59, -61, -63, -64 ||  -51, -51, -50, -53, -54 ||  -62, -60, -65, -64, -65 ||  -65, -64, -65, -66, -68 ||  -56, -56, -57, -58, -59 ||  -63, -61, -63, -64, -65
1.0,9.0 ||  -64, -63, -63, -63, -64 ||  -43, -45, -44, -44, -46 ||  -62, -64, -66, -63, -65 ||  -64, -66, -66, -65, -67 ||  -54, -57, -57, -56, -58 ||  -61, -63, -64, -63, -64
1.0,10.0 ||  -66, -67, -66, -63, -65 ||  -34, -40, -38, -36, -38 ||  -62, -67, -67, -63, -66 ||  -63, -69, -68, -65, -67 ||  -53, -58, -57, -54, -57 ||  -60, -65, -65, -62, -64
2.0,0.0 ||  -55, -51, -50, -50, -57 ||  -69, -65, -64, -64, -71 ||  -58, -55, -53, -54, -60 ||  -67, -63, -62, -64, -69 ||  -69, -66, -64, -64, -71 ||  -71, -67, -66, -66, -73
2.0,1.0 ||  -54, -55, -52, -51, -55 ||  -66, -67, -62, -62, -66 ||  -57, -58, -54, -54, -57 ||  -65, -63, -62, -62, -65 ||  -66, -67, -63, -62, -66 ||  -68, -69, -65, -65, -69
2.0,2.0 ||  -54, -59, -54, -52, -53 ||  -63, -69, -61, -61, -62 ||  -56, -61, -56, -54, -55 ||  -63, -64, -63, -61, -62 ||  -64, -69, -63, -61, -62 ||  -66, -71, -65, -64, -65
2.0,3.0 ||  -53, -60, -56, -55, -57 ||  -59, -66, -61, -61, -63 ||  -55, -61, -57, -56, -58 ||  -61, -65, -63, -62, -64 ||  -60, -67, -62, -61, -63 ||  -63, -69, -65, -64, -66
2.0,4.0 ||  -53, -61, -58, -58, -61 ||  -56, -64, -61, -61, -64 ||  -54, -62, -59, -59, -62 ||  -59, -67, -64, -64, -67 ||  -56, -65, -61, -62, -65 ||  -60, -68, -65, -65, -68
2.0,5.0 ||  -57, -58, -59, -64, -62 ||  -57, -59, -59, -64, -62 ||  -57, -59, -59, -63, -62 ||  -61, -63, -63, -69, -67 ||  -57, -59, -59, -65, -63 ||  -61, -63, -64, -69, -67
2.0,6.0 ||  -61, -56, -60, -70, -63 ||  -58, -54, -57, -67, -60 ||  -61, -57, -60, -67, -63 ||  -64, -60, -63, -74, -67 ||  -59, -54, -58, -68, -61 ||  -63, -59, -63, -73, -66
2.0,7.0 ||  -61, -57, -61, -68, -64 ||  -55, -53, -55, -62, -58 ||  -61, -58, -62, -67, -64 ||  -63, -61, -64, -71, -67 ||  -56, -54, -57, -64, -59 ||  -62, -59, -63, -70, -65
